,year,activity,sex,age,cat_age,century
0,2020.0,Boogie boarding,F,50,Adult,XXI
1,2020.0,Surfing,F,35,Young Adult,XXI
2,2020.0,Fishing,M,55,Adult,XXI
3,2020.0,Snorkeling,F,,No category,XXI
4,2020.0,Surfing,F,22,Young Adult,XXI
5,2020.0,Swimming,M,14,Teenager,XXI
6,2020.0,Surfing,M,28,Young Adult,XXI
7,2020.0,Diving,M,38,Adult,XXI
8,2020.0,Sightseeing,,,No category,XXI
9,2020.0,Swimming,M,4,Child,XXI
10,2020.0,Swimming,F,63,Adult,XXI
11,2020.0,Spearfishing,M,23,Young Adult,XXI
12,2020.0,Standing,M,11,Child,XXI
13,2020.0,Treading water,M,,No category,XXI
14,2020.0,Wading,F,12,Teenager,XXI
15,2020.0,Fishing,M,10,Child,XXI
16,2020.0,Wading,F,14,Teenager,XXI
17,2020.0,Snorkeling,F,29,Young Adult,XXI
18,2020.0,Surfing,M,15,Teenager,XXI
19,2020.0,Spearfishing,M,36,Adult,XXI
20,2020.0,Playing,M,7,Child,XXI
21,2020.0,Body Surfing,M,16,Teenager,XXI
22,2020.0,,,,No category,XXI
23,2020.0,Windsurfing,M,30,Young Adult,XXI
24,2020.0,Surfing,M,60,Adult,XXI
25,2020.0,,F,,No category,XXI
26,2020.0,Skimboarding,M,12,Teenager,XXI
27,2020.0,Surfing,M,,No category,XXI
28,2020.0,Spearfishing,M,,No category,XXI
29,2020.0,Spearfishing,M,18,Young Adult,XXI
30,2020.0,Playing,M,12,Teenager,XXI
31,2020.0,Playing,M,9,Child,XXI
32,2020.0,Snorkeling,,,No category,XXI
33,2020.0,Surfing,M,26,Young Adult,XXI
34,2020.0,Surfing,M,,No category,XXI
35,2020.0,Swimming,F,57,Adult,XXI
36,2020.0,Body Boarding,M,16,Teenager,XXI
37,2020.0,Swimming,F,,No category,XXI
38,2020.0,Surfing,F,,No category,XXI
39,2020.0,Swimming,M,23,Young Adult,XXI
40,2020.0,Surfing,M,38,Adult,XXI
41,2020.0,Stand-Up Paddleboarding,M,Teen,Teenager,XXI
42,2020.0,Surfing,M,,No category,XXI
43,2020.0,Surfing,M,,No category,XXI
44,2020.0,,F,,No category,XXI
45,2020.0,Kayak fishing,M,,No category,XXI
46,2020.0,Spearfishing,M,26,Young Adult,XXI
47,2020.0,Surfing,M,60,Adult,XXI
48,2020.0,Stand-Up Paddle boarding,,,No category,XXI
49,2020.0,Canoeing,M,,No category,XXI
50,2020.0,Floating,F,24,Young Adult,XXI
51,2020.0,Surfing,M,59,Adult,XXI
52,2020.0,Surfing,F,13,Teenager,XXI
53,2020.0,Surfing,M,26,Young Adult,XXI
54,2020.0,Swimming,M,75,Elder,XXI
55,2020.0,Swimming,F,7,Child,XXI
56,2020.0,Scuba diving,M,57,Adult,XXI
57,2020.0,,M,12,Teenager,XXI
58,2020.0,Swimming after being swept off rocks,M,21,Young Adult,XXI
60,2019.0,Swimming,F,45,Adult,XXI
61,2019.0,Spearfishing,M,33,Young Adult,XXI
62,2019.0,Surf skiing,M,,No category,XXI
63,2019.0,Boogie boarding,F,17,Teenager,XXI
64,2019.0,Surfing,M,37,Adult,XXI
65,2019.0,Fishing,,,No category,XXI
66,2019.0,Kayaking,M,70,Elder,XXI
67,2019.0,Free diving,M,57,Adult,XXI
68,2019.0,Stand-Up Paddleboarding,M,57,Adult,XXI
69,2019.0,Surfing,M,9,Child,XXI
70,2019.0,Snorkeling,M,30,Young Adult,XXI
71,2019.0,Spearfishing,M,38,Adult,XXI
72,2019.0,Fishing,M,,No category,XXI
73,2019.0,Snorkeling,M,,No category,XXI
74,2019.0,Feeding sharks,M,9,Child,XXI
75,2019.0,Surfing,M,30,Young Adult,XXI
76,2019.0,Snorkeling,M,23,Young Adult,XXI
77,2019.0,Kayaking fishing,M,,No category,XXI
78,2019.0,Surfing,F,,No category,XXI
79,2019.0,Snorkeling,M,44,Adult,XXI
81,2019.0,Surfing,M,32,Young Adult,XXI
82,2019.0,Snorkeling,F,35,Young Adult,XXI
83,2019.0,Surfing,M,17,Teenager,XXI
84,2019.0,Surfing,M,20,Young Adult,XXI
85,2019.0,Surfing,M,29,Young Adult,XXI
86,2019.0,Kayaking,M,51,Adult,XXI
87,2019.0,Surfing,M,,No category,XXI
88,2019.0,Fishing,M,45,Adult,XXI
89,2019.0,Surfing,F,,No category,XXI
90,2019.0,Swimming,M,,No category,XXI
91,2019.0,Surfing,M,13,Teenager,XXI
92,2019.0,Snorkeling,,"22, 57, 31",,XXI
93,2019.0,,F,22,Young Adult,XXI
94,2019.0,Spearfishing,M,,No category,XXI
95,2019.0,Spearfishing,M,70,Elder,XXI
96,2019.0,,M,60s,Elder,XXI
97,2019.0,Surfing,M,40,Adult,XXI
98,2019.0,Wading,M,11,Child,XXI
99,2019.0,Swimming/ Treading water,F,26,Young Adult,XXI
100,2019.0,Wading,M,9,Child,XXI
101,2019.0,Surfing,M,16,Teenager,XXI
102,2019.0,Standing,M,51,Adult,XXI
103,2019.0,Surfing,F,21,Young Adult,XXI
104,2019.0,Surfing,M,20,Young Adult,XXI
105,2019.0,Spearfishing / Diving,M,37,Adult,XXI
106,2019.0,Swimming,M,49,Adult,XXI
107,2019.0,Fishing,M,,No category,XXI
108,2019.0,Surfing,M,18,Young Adult,XXI
109,2019.0,Snorkeling,F,,No category,XXI
110,2019.0,Boogie boarding,M,49,Adult,XXI
111,2019.0,Surfing,M,18,Young Adult,XXI
112,2019.0,Surfing,M,23,Young Adult,XXI
113,2019.0,Diving,,,No category,XXI
114,2019.0,Scuba diving,M,45,Adult,XXI
115,2019.0,Body-surfing,F,,No category,XXI
116,2019.0,Boogie boarding,F,16,Teenager,XXI
117,2019.0,Surfing,M,20's,Young Adult,XXI
118,2019.0,Paddle boarding,M,43,Adult,XXI
119,2019.0,Fishing,M,,No category,XXI
120,2019.0,Snorkeling,M,32,Young Adult,XXI
121,2019.0,Surfing,M,18,Young Adult,XXI
122,2019.0,Snorkeling,F,21,Young Adult,XXI
123,2019.0,Spearfishing,M,,No category,XXI
124,2019.0,Snorkeling,M,50,Adult,XXI
125,2019.0,Swimming,M,8,Child,XXI
126,2019.0,Swimming,M,64,Adult,XXI
127,2019.0,Surfing,M,19,Young Adult,XXI
128,2019.0,Abalone diving,M,,No category,XXI
129,2019.0,Surfing,M,,No category,XXI
130,2019.0,Standing,F,17,Teenager,XXI
131,2019.0,Fishing,M,43,Adult,XXI
132,2019.0,Swimming,M,65,Adult,XXI
133,2019.0,Swimming,M,10,Child,XXI
134,2019.0,Body Boarding,M,67,Elder,XXI
135,2019.0,Scuba diving,M,,No category,XXI
136,2019.0,Surfing,M,,No category,XXI
137,2019.0,Body Surfing,M,53,Adult,XXI
138,2019.0,Surfing,M,28,Young Adult,XXI
139,2019.0,Swimming with sharks,F,34,Young Adult,XXI
