artist,sp_id,spotify_artist,sp_genres,sp_popularity,sp_followers
Arizona Zervas,0vRvGUQVUjytro0xpb26bs,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0vRvGUQVUjytro0xpb26bs'}, 'followers': {'href': None, 'total': 486779}, 'genres': ['pop rap', 'rap', 'rhode island rap'], 'href': 'https://api.spotify.com/v1/artists/0vRvGUQVUjytro0xpb26bs', 'id': '0vRvGUQVUjytro0xpb26bs', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/d549aadbb8b3a254fdc8e5ac93535a706463dce6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/3e8de8dd7f9380757f655028ef3209e73a688a00', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/b034f5b9aea4d39eef47278e8f8702e116be66cb', 'width': 160}], 'name': 'Arizona Zervas', 'popularity': 80, 'type': 'artist', 'uri': 'spotify:artist:0vRvGUQVUjytro0xpb26bs'}","['pop rap', 'rap', 'rhode island rap']",80,486779
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5'}, 'followers': {'href': None, 'total': 3445699}, 'genres': ['la indie', 'pop'], 'href': 'https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5', 'id': '5cj0lLjcoR7YOSnhnX0Po5', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/c0492ddbdf41c4595ee1334d3f896ea786005fe9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/dff3b75945eda13302aa64bd6a9a82b90aa2a364', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/d78f2cc538fc953045758c01c62f1524e2bb31e3', 'width': 160}], 'name': 'Doja Cat', 'popularity': 88, 'type': 'artist', 'uri': 'spotify:artist:5cj0lLjcoR7YOSnhnX0Po5'}","['la indie', 'pop']",88,3445699
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF'}, 'followers': {'href': None, 'total': 17989469}, 'genres': ['dance pop', 'pop', 'post-teen pop'], 'href': 'https://api.spotify.com/v1/artists/4nDoRrQiYLoBzwC5BhVJzF', 'id': '4nDoRrQiYLoBzwC5BhVJzF', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/667daebca4856db3f4cbe8f51a4881091e62c401', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/6628c8b4acfa56206eaf83edd561f0549f8f23df', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/9beb36d55d0a4784f4adf06fb506d292c688b8bf', 'width': 160}], 'name': 'Camila Cabello', 'popularity': 87, 'type': 'artist', 'uri': 'spotify:artist:4nDoRrQiYLoBzwC5BhVJzF'}","['dance pop', 'pop', 'post-teen pop']",87,17989469
DaBaby,4r63FhuTkUYltbVAg5TQnk,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4r63FhuTkUYltbVAg5TQnk'}, 'followers': {'href': None, 'total': 4326193}, 'genres': ['north carolina hip hop', 'rap'], 'href': 'https://api.spotify.com/v1/artists/4r63FhuTkUYltbVAg5TQnk', 'id': '4r63FhuTkUYltbVAg5TQnk', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/f68192e6516d89a77a2b16904725a77b75b42056', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/f88e08cf9132c7facc2ee9fbdd1be3924b5c5a74', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/1b6dd2116962f6d9741d0181708e31006b5048a7', 'width': 160}], 'name': 'DaBaby', 'popularity': 95, 'type': 'artist', 'uri': 'spotify:artist:4r63FhuTkUYltbVAg5TQnk'}","['north carolina hip hop', 'rap']",95,4326193
Kid Francescoli,2G7QgTep5IsJHGHm1hXygD,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2G7QgTep5IsJHGHm1hXygD'}, 'followers': {'href': None, 'total': 82296}, 'genres': ['electronica', 'french indie pop', 'french indietronica', 'new french touch'], 'href': 'https://api.spotify.com/v1/artists/2G7QgTep5IsJHGHm1hXygD', 'id': '2G7QgTep5IsJHGHm1hXygD', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/835a3c3a4795a24ef939ab9c40b8f3803966084e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/55f1788eef92e024530ed41eb67a7ca279492666', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/cda8487023459df3d2e39a8dc90f5f7bcc6cf5bf', 'width': 160}], 'name': 'Kid Francescoli', 'popularity': 61, 'type': 'artist', 'uri': 'spotify:artist:2G7QgTep5IsJHGHm1hXygD'}","['electronica', 'french indie pop', 'french indietronica', 'new french touch']",61,82296
Cookiee Kawaii,0DbBBj0ScPumRqKXswGQH1,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DbBBj0ScPumRqKXswGQH1'}, 'followers': {'href': None, 'total': 36126}, 'genres': ['viral rap'], 'href': 'https://api.spotify.com/v1/artists/0DbBBj0ScPumRqKXswGQH1', 'id': '0DbBBj0ScPumRqKXswGQH1', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/040b8f6063cb39ff30a0990b979ff1f2185bbf9c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/c540d099fe9b4b8b10a7cee6bb3498af22b21026', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6d28d6493c8e598ec72f12c24abb89b666a40ccf', 'width': 160}], 'name': 'Cookiee Kawaii', 'popularity': 63, 'type': 'artist', 'uri': 'spotify:artist:0DbBBj0ScPumRqKXswGQH1'}",['viral rap'],63,36126
Roddy Ricch,757aE44tKEUQEqRuT6GnEB,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/757aE44tKEUQEqRuT6GnEB'}, 'followers': {'href': None, 'total': 4162809}, 'genres': ['melodic rap', 'rap'], 'href': 'https://api.spotify.com/v1/artists/757aE44tKEUQEqRuT6GnEB', 'id': '757aE44tKEUQEqRuT6GnEB', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/020e997fb003cf666859a90b57ca0519df769d30', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/38ce38b6127b0aced2667ffca0cde86d3c5055f3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ad705fa61c78d83302a058a3db06b2ed8a7ec9a8', 'width': 160}], 'name': 'Roddy Ricch', 'popularity': 92, 'type': 'artist', 'uri': 'spotify:artist:757aE44tKEUQEqRuT6GnEB'}","['melodic rap', 'rap']",92,4162809
Deep Chills,12rBrcOPP50qIan8ew4iTP,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/12rBrcOPP50qIan8ew4iTP'}, 'followers': {'href': None, 'total': 41752}, 'genres': ['deep tropical house', 'tropical house'], 'href': 'https://api.spotify.com/v1/artists/12rBrcOPP50qIan8ew4iTP', 'id': '12rBrcOPP50qIan8ew4iTP', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/19173ef80ebf302b7c8c612c69ca46c886c9cc67', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/fde56d94a01002bf8579e242885d1984daec14a6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/5455e4f0392cc76d4ab326284107fb63bbfb9535', 'width': 160}], 'name': 'Deep Chills', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:12rBrcOPP50qIan8ew4iTP'}","['deep tropical house', 'tropical house']",58,41752
IVIE,2ol1cb6xyYpaxRTUsl1CYN,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2ol1cb6xyYpaxRTUsl1CYN'}, 'followers': {'href': None, 'total': 894}, 'genres': ['indie electropop'], 'href': 'https://api.spotify.com/v1/artists/2ol1cb6xyYpaxRTUsl1CYN', 'id': '2ol1cb6xyYpaxRTUsl1CYN', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/3c42efb87fb7daded98c58b61294918fb30df8d3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/651fb1b00df276dcb113d4cfdf2646cd9ccbf234', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/72cfad4cc200b1b4b59b5a1ea7014d171a9d4fb4', 'width': 160}], 'name': 'IVIE', 'popularity': 51, 'type': 'artist', 'uri': 'spotify:artist:2ol1cb6xyYpaxRTUsl1CYN'}",['indie electropop'],51,894
HUTS,6d4AePmkVnbu2qIbT6vsem,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6d4AePmkVnbu2qIbT6vsem'}, 'followers': {'href': None, 'total': 1769}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/6d4AePmkVnbu2qIbT6vsem', 'id': '6d4AePmkVnbu2qIbT6vsem', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/5bb433698303f423f49d748c057f320f6b38b6c7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/fe01630264199e2f7bdc4560517ead8f9e8b81b9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/d752e2c9d57a0ca4d84a17e44f21729f6acd917d', 'width': 160}], 'name': 'HUTS', 'popularity': 53, 'type': 'artist', 'uri': 'spotify:artist:6d4AePmkVnbu2qIbT6vsem'}",[],53,1769
