carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2850.345297737173
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,854.339547377945
0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1457.7046650216996
1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7206.398694538905
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,18298.028656584727
2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13086.93587325734
1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4322.330913191728
0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2641.716299087596
0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2422.0804803149135
0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3852.840519466046
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5770.004149804647
0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,816.3698733930919
0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1402.4901082127406
0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,783.8334334426015
0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1524.6360355997817
0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1482.35895387562
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,369.33838393434985
2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,20624.73410577505
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4188.3602855410445
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,781.275687365198
1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4150.060585671729
0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,801.2404153023631
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3999.7577190312454
0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4925.433093051069
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6843.75028894672
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1068.3200690958781
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2267.0242098527992
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2047.7865189344795
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1399.3655209739886
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1114.2579046437884
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5006.084003022139
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,917.1955817152241
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3232.810253878785
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3185.963959422422
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1263.4790768555358
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6752.676383083409
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1310.5349449637604
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6094.3285308158975
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,644.3689649528661
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,415.3173211130264
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,857.2905028717909
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,746.3985856212655
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,442.2546892128106
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,664.2758844092155
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,11829.864498777977
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5249.30056853286
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9224.060753346335
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1163.3272657175003
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,883.1092953640822
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3784.9783639985576
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1669.2603466573123
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4435.295984370332
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,6506.939874705685
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,571.657143777248
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3085.162405558278
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,11483.503168514304
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,330.6803101486854
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2309.4191452712457
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5818.2970602117475
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4113.564765517542
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1967.2997835855856
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1106.685169035915
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3948.944869840049
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1396.101354711952
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1696.3579097811278
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,10284.756768799827
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,659.2769862386886
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1911.4278557151122
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,5911.612600505601
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,962.6673876798885
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,636.8245076929431
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,618.1821141675831
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,5962.761013724923
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,576.4152278161766
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,803.0644020776174
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3955.4969410984163
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,617.8686712800786
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1604.9215766189884
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1408.914580989878
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1468.733798244731
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,831.040288112828
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1199.6241225316883
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,634.0331716464933
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4341.485254400816
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2553.2524488428603
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2168.392477408777
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,568.3831805907141
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2360.4693141265575
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3149.232257279009
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4337.617462067068
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2224.0237562050925
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10468.510318841882
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10235.099085300582
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1251.0542966873916
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5392.678109506906
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17254.758576390064
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7258.687800501571
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1124.9230938051148
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2560.5955557081224
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5647.767603704641
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5361.646029670827
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5248.540810691259
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2940.045397267238
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4908.263206609232
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10993.988283358849
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1224.8805272222382
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,717.171737401416
0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,455.72973244296907
0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,670.0954833517528
0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3026.7903437779555
0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,814.3411762788916
1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,4629.740335114573
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1701.7596556855585
1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,3202.8158483454717
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1724.5946994663009
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,418.91731380116295
0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1162.0258520372777
1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,7753.262108326224
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,609.6437634190256
0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1029.9126267684132
1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,8903.093187951485
1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4260.974825952226
0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,687.7173806776913
0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1342.6641121334799
1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6396.155680606315
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4148.201797624717
1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2706.805976826841
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3104.8382224494376
0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,562.8794743248926
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4562.870455945531
0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3628.2465179717474
0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1232.1191071635562
0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1218.7969951664923
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1701.1624050982848
1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4127.286558949026
1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4898.852184654589
1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5073.710022330952
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3415.975875120698
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3577.3337294673743
0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,625.1580653680563
1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,9296.128715338578
0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,775.0099991297402
