,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,age_int,age_cat,year_int,century
0,20-Aug-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,F,50,N,11h00,,50,Adult,2020,21
1,14-Aug-2020,2020.0,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Port Macquarie",Surfing,F,35,N,09h30,"White shark, 2-to 3m",35,Young Adult,2020,21
2,10-Aug-2020,2020.0,Provoked,USA,Florida,"Off Gasparilla Island, Charlotte County",Fishing,M,55,N,16h00,"Blacktip shark, 6'",55,Adult,2020,21
3,02-Aug-2020,2020.0,Unprovoked,USA,Virgin Islands,"Candle Reef, St. Croix",Snorkeling,F,,N,14h00,"Nurse shark, 5'",-1,-,2020,21
4,31-Jul-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,22,N,17h00,,22,Young Adult,2020,21
5,31-Jul-2020,2020.0,Unprovoked,USA,Alabama,"Orange Beach, Baldwin County",Swimming,M,14,N,13h00,Blacktip or Spinner shark,14,Teenager,2020,21
6,31-Jul-2020,2020.0,Unprovoked,AUSTRALIA,Western Australia,Bunker Bay Beach,Surfing,M,28,N,14h15,"White shark, 4m",28,Young Adult,2020,21
7,29-Jul-2020,2020.0,Unprovoked,USA,Florida,Florida Keys,Diving,M,38,N,,"Lemon shark, 8'",38,Adult,2020,21
9,27-Jul-2020,2020.0,Unprovoked,FRENCH POLYNESIA,Tuamotu Islands,Tikehau,Swimming,M,4,N,Evening,"Blacktip reef shark, juvenile",4,Child,2020,21
10,27-Jul-2020,2020.0,Unprovoked,USA,Maine,"Bailey Island, Cumberland County",Swimming,F,63,Y,15h59,"White shark, 11'?",63,Adult,2020,21
11,23-Jul-2020,2020.0,Unprovoked,USA,Bahamas,Spanish Cay,Spearfishing,M,23,N,12h00,"Reef shark, 5' to 6 '",23,Young Adult,2020,21
12,23-Jul-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,11,N,,,11,Child,2020,21
13,22-Jul-2020,2020.0,Unprovoked,USA,North Carolina,"Neuse River, Craven County",Treading water,M,,N,17h30,Bull shark. 6.5',-1,-,2020,21
14,19-Jul-2020,2020.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,12,N,Afternoon,,12,Child,2020,21
15,17-Jul-2020,2020.0,Unprovoked,AUSTRALIA,Tasmania,Off Stanley,Fishing,M,10,N,13h30,White shark,10,Child,2020,21
16,14-Jul-2020,2020.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Wading,F,14,N,,"Bull shark, 4' to 6'",14,Teenager,2020,21
17,13-Jul-2020,2020.0,Unprovoked,AUSTRALIA,Queensland,Fitzroy Island,Snorkeling,F,29,N,11h45,2 m shark,29,Young Adult,2020,21
